Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Employer Provided,Hourly,min_sal,max_sal,avg_sal,Onsite,State,Age,python,spark,tableau,tensorflow,Simplified Title,Seniority,isPrivate
Associate Data Scientist,Employer Provided Salary:$80K - $110K,"The Role
We are seeking a motivated and analytical individual to join our team as an Associate Data Scientist. In this role, you will help Polco leverage data to drive impact and provide direction and insight internally and externally while also helping to manage our clients’ custom research needs. You will be responsible for data exploration, collection, and cleaning as well as analysis across a wide range of projects; some directly helping customers, others helping partners, and some helping to support business decisions and improve performance. As an Associate Data Scientist, you will work with a team of experienced professionals in a collaborative environment to analyze datasets and apply advanced statistical methods to solve complex problems.
Key Responsibilities",4.8,Polco,Remote,51 to 200 Employees,-1,Company - Private,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,1,0,80.0,110.0,95.0,0,remote,-1,0,0,0,0,data scientist,na,1
Data Scientist,Employer Provided Salary:$88K - $110K,"We Are Overstock:
At Overstock.com, we believe that everyone should “Be You!”. Overstock is a community that upholds a culture of understanding, acceptance, and respect. We believe a person’s individuality is at the core of diversity, and those traits, beliefs, and characteristics should be valued and embraced. Living by this ethos is essential to the success of our business. Our goal is to foster a more diverse environment where every employee visibly demonstrates inclusive behaviors and respect for individuals.
This position is eligible for remote work. Currently we can hire employees in the following states: Arizona, California, Connecticut, Florida, Idaho, Kansas, Maine, Massachusetts, Michigan, Minnesota, New Hampshire, New Jersey, New York, North Carolina, Ohio, Pennsylvania, Rhode Island, South Dakota, Texas, Utah, Washington, Wisconsin, Wyoming. This role will have occasional on site expectations.",3.2,Overstock.com Inc.,Remote,1001 to 5000 Employees,1999,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$1 to $5 billion (USD),1,0,88.0,110.0,99.0,0,remote,24,0,0,0,0,data scientist,na,0
Data Scientist,Employer Provided Salary:$75.00 - $80.00 Per Hour,"Required
Self-motivated individual who functions well solo and within a team.
Ability to employ data science and supply chain operations research in the development of analytics models that can tackle complex supply chain problems.
Ability to use open-source languages and/or algorithms for model development.
Be proficient in one or more programming language, such as Python, R, C++, or Java.
Be proficient in one or more visualization tools, such as Tableau or Power BI
Have experience building simulation models and applying simulation software (e.g., AnyLogic,.), either through formal coursework or through research/work experience.",-1.0,PROLIM Corporation,Remote,-1,-1,-1,-1,-1,-1,1,1,112.5,80.0,77.5,0,remote,-1,1,0,1,0,data scientist,na,-1
Data Scientist I,Employer Provided Salary:$64K - $116K,"PURPOSE:
The Data Scientist I will be responsible for using data and advanced analytics to improve business outcomes. This role will be responsible for developing, testing, and implementing statistical and machine learning models for predictive analytics, and taking an iterative approach to improving results. This role has a solid understanding of predictive modeling and machine learning techniques, model development, model/ml-ops, with the advanced written and verbal communications skills

ESSENTIAL FUNCTIONS:
Job Responsibilities:",3.2,UNFI,"Providence, RI",10000+ Employees,1978,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),1,0,64.0,116.0,90.0,1,RI,45,0,0,0,0,data scientist,na,0
Data Scientist,Employer Provided Salary:$60K - $140K,"iOS: https://apps.apple.com/us/app/id1551871735
Android: https://play.google.com/store/apps/details?id=com.redko.redvest
Downloading the app first will help your application process tremendously!
Get to work with the one of the top 30 ranking Finance Apps on the App Store, Redvest. Learn to produce a mobile app from start to finish! Redvest is stock market simulator that reproduces behavior and features of the stock market, so that our users can practice trading crypto currencies and stocks with 0 financial risk. Our users get $ 100,000 free paper money for their gamified stock market learning experience. We are looking for a team member that is passionate about or wants to learn the stock market and finance. You might also get an opportunity to work on different web based and mobile projects.",-1.0,Redvest App,Remote,-1,-1,-1,-1,-1,-1,1,0,60.0,140.0,100.0,0,remote,-1,0,0,0,0,data scientist,na,-1
Senior Data Scientist (REMOTE POSITION),Employer Provided Salary:$175K - $250K,"Summary
Description
Are you looking to enable high quality, affordable, and accessible Healthcare for everyone in the world? As a direct report to the Chief Technology Officer and a member of the Technology Leadership Team, you’ll be able to shape the future of Data and Analytics Solutions at UpHealth. The Senior Data Scientist will collaborate and drive our Data as an Asset, Data Services, and Analytics and Insights verticals. Unlocking a digital first mindset because it’s the most effective way to help people in need. This is a truly transformational role and one that can influence the trajectory of Healthcare.
This position is remote and can be performed from any U.S. state.

Core Responsibilities:
As a key member of the Technology Leadership Team you’ll drive research and development to understand complex data sources, create synthetic data sets, commercialize/anonymize data, support packaged and bespoke data science solutions for our Healthcare clients, and support the end-to-end data and analytics needs across the enterprise.",3.0,"UpHealth, Inc.",Remote,501 to 1000 Employees,2021,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,1,0,175.0,250.0,212.5,0,remote,2,0,0,0,0,data scientist,senior,0
Data Scientist,Employer Provided Salary:$87K,"It started with one ridiculously good idea - Create a different breed of BPO! We at TaskUs understand that achieving growth for our partners requires a culture of constant motion; exploring new technologies, being ready to handle any challenge in a moment's notice, mastering consistency in an ever-changing world - that's what it takes to get there. If that's something you want to be apart of, apply today!

Title: Data Scientist

Job Description

It started with one ridiculously good idea - Create a different breed of BPO! We at TaskUs understand that achieving growth for our partners requires a culture of constant motion; exploring new technologies, being ready to handle any challenge in a moment's notice, mastering consistency in an ever-changing world - that's what it takes to get there. If that's something you want to be a part of apply today!

Formulate & apply mathematical & computational modeling methods towards data extraction & manipulation. Telecommuting permitted from any location in the U.S. Wage: $86570/year. To apply, visit https://www.taskus.com/careers/ and search position title.

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!

TaskUs is an Equal Opportunity Employer

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!

TaskUs is an Equal Opportunity Employer",4.5,TaskUS,"San Antonio, TX",10000+ Employees,2008,Company - Public,Information Technology Support Services,Information Technology,$25 to $100 million (USD),1,0,87.0,87.0,87.0,1,TX,15,0,0,0,0,data scientist,na,0
"Data Scientist, Product Analytics",Employer Provided Salary:$130K - $155K,"About Us:
Live experiences help people cross today’s digital divide and focus on what truly connects us – the here, the new, this once-in-a-lifetime moment that’s bringing us together. To fulfill Gametime’s mission of uniting the world through shared experiences, we make it easy for people to discover and access the live experiences that matter most.

With platforms on iOS, Android, mobile web and desktop supporting more than 25,000 events across the US and Canada, we are reimagining the event ticket industry in order to move at the speed of life.

Job Description:
We are looking for an organized, data-driven, and curious team player to work cross-functionally across the data, product, marketing, finance, and operations teams. As a Senior Data Analyst, you will support and inform various functions throughout the company to solve business-critical issues, specifically related to our product, features, etc. You will dive into user behavior data to provide insights which will impact major business decisions and own the maintenance of Gametime’s business intelligence reporting. The ideal candidate will be able to thrive in a fast-paced environment and able to adapt to changes within the business and the industry.",4.5,"Gametime United, Inc.",Remote,51 to 200 Employees,2013,Company - Private,Ticket Sales,"Arts, Entertainment & Recreation",$25 to $100 million (USD),1,0,130.0,155.0,142.5,0,remote,10,0,0,0,0,data scientist,na,1
Data Scientist,Employer Provided Salary:$141K - $169K,"Company Description

Wish is a mobile e-commerce platform that flips traditional shopping on its head. We connect hundreds of millions of people with the widest selection of delightful, surprising, and—most importantly—affordable products delivered directly to their doors. Each day on Wish, millions of customers in more than 60+ countries around the world discover new products. For our over 250,000 merchant partners, anyone with a good idea and a mobile phone can instantly tap into a global market.
We're fueled by creating unique products and experiences that give people access to a new type of commerce, where all are welcome. If you’ve been searching for a supportive environment to chase your curiosity and use data to investigate the questions that matter most to you, this is the place.",3.2,Wish,"San Francisco, CA",501 to 1000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$1 to $5 billion (USD),1,0,141.0,169.0,155.0,1,CA,13,0,0,0,0,data scientist,na,0
Data Scientist,$80K - $122K (Glassdoor est.),"TGS provides scientific data and intelligence to companies active in the energy sector. In addition to a global, extensive and diverse energy data library, TGS offers specialized services such as advanced processing and analytics alongside cloud-based data applications and solutions.",3.9,TGS,"Houston, TX",501 to 1000 Employees,1981,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$500 million to $1 billion (USD),0,0,80.0,122.0,101.0,1,TX,42,0,0,0,0,data scientist,na,0
Data Scientist (GenerativeAI),$101K - $175K (Glassdoor est.),"Introduction:
SymphonyAI is seeking a highly motivated and experienced data scientist to join our team as a Data Scientist. The ideal candidate will have expertise in generative models, deep learning, and a strong background in statistics, mathematics, and programming. You will be responsible for designing, implementing, and testing generative AI models to generate novel and creative outputs from structured and unstructured data sources. Your work will be critical to our mission of creating innovative solutions to challenging problems across multiple domains.
Job Description:
Duties & Responsibilities
Work with stakeholders to understand business requirements and identify opportunities for machine learning applications.
Develop, test, and deploy machine learning models and systems.
About Us:",4.4,SymphonyAI,"New York, NY",1001 to 5000 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,101.0,175.0,138.0,1,NY,6,0,0,0,0,data scientist,na,1
Data Scientist,Employer Provided Salary:$84K - $99K,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",3.9,Vetro Tech Inc,"San Jose, CA",Unknown,-1,Company - Public,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,1,0,84.0,99.0,91.5,1,CA,-1,0,0,0,0,data scientist,na,0
Staff Data Scientist,Employer Provided Salary:$245K - $262K,"We’re a team of bright, kind individuals who are motivated by challenge and who care deeply about achieving great things. We know our individual strengths, but believe we only win as a team. We’re transforming the way people find what they love - and we need your big ideas. We just might be the perfect fit.
About the Team
At Stitch Fix, our data science team combines machine learning with expert human judgment to generate innovative recommendations and insights that transform the way our clients discover what they love. We believe in a curiosity-driven data science culture where members are empowered to deliver impact through end-to-end model development. The diversity of the problems that we work on and the data-rich environment of our business make it possible, even essential, to bring the tools of multiple disciplines to bear on our hardest problems. As a large company, our growing business is looking for data scientists to join us in revolutionizing retail.
About the Role",3.2,Stitch Fix,Remote,10000+ Employees,2011,Company - Public,Other Retail Stores,Retail & Wholesale,$1 to $5 billion (USD),1,0,245.0,262.0,253.5,0,remote,12,0,0,0,0,data scientist,na,0
Data Scientist,Employer Provided Salary:$80K - $100K,"The Opportunity

OBMedia is a small, fast-growing online advertising company. While we enjoy a busy, tight-knit tech start-up culture, we also happen to be backed by a parent company, which is publicly traded on the Australian Securities Exchange, which adds stability to the usual start-up formula. Each day, we work with large, bureaucratic corporate partners, as well as dozens of small/medium businesses who act as our publishers.
We are seeking a talented and experienced Data Scientist to build marketing tech with us and join the dynamic Audience Development team at OBMedia - a highly specialized group of professionals from around the world who work closely with our Marketing and Media Buy teams to drive growth through cutting-edge software products. As a valued contributor in this collaborative team environment, you’ll have the opportunity to make a real impact and help shape the future of our company using your expertise in data analysis, machine learning, and statistical modeling to develop and implement data-driven strategies that optimize our search arbitrage operations.",4.0,OBMedia,Remote,1 to 50 Employees,2007,Company - Private,Publishing,Media & Communication,Unknown / Non-Applicable,1,0,80.0,100.0,90.0,0,remote,16,0,0,0,0,data scientist,na,1
Data Scientist,Employer Provided Salary:$40.67 - $80.09 Per Hour,"Role : Data Scientist
Location : Santa Clara, CA(Onsite)(Hybrid)
Position: C2C
client: Cognizant/ CMT
Need 10+ years candidates
Primary Skills:
Machine Learning Strong AI ML Data Science experience, ML Ops, DevOps, Data Engineering and ML background with Azure Cloud platforms Extensive experience in On prem to Cloud migration projects in AI ML Experience in Databricks ML Experience in Cloudera Data Science Work Bench Data Science ,Machine Learning MLflow/Kubeflow/Sagemaker/Azure ML (ML Ops) Admin",-1.0,Synapseb systems,"Santa Clara, CA",51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,1,1,61.005,80.09,60.38,1,CA,-1,0,0,0,0,data scientist,na,0
Junior Data Scientist,$76K - $115K (Glassdoor est.),"Location
HQ
3500 S Clark Street
Arlington, VA 22202 USA
Employment Type
Full-Time
Experience Level",3.1,Lidl US,"Arlington, VA",5001 to 10000 Employees,1973,Company - Private,Grocery Stores,Retail & Wholesale,Unknown / Non-Applicable,0,0,76.0,115.0,95.5,1,VA,50,0,0,0,0,data scientist,junior,1
Data Scientist,Employer Provided Salary:$70.00 - $100.00 Per Hour,"Data Scientist - Remote
Client is looking for only GC and USC
Qualifications
· Bachelor's degree or foreign equivalent in Computer Science, Statistics, Engineering, Economics, Information Systems, or a related field and three years of experience in the job offered or in a related occupation
· Must have 5 year of experience in the following skills: hands-on experience with applying data science techniques to identify anomalous behavior patterns in a production environment; experience with extracting, cleaning, and transforming data, and working with data owners to understand the data; using database technologies including SQL, ETL or Oracle; and applying specialized modelling software including SAS, R, Python, Stata, or Matlab",-1.0,zettalogix.Inc,Remote,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,1,1,105.0,100.0,85.0,0,remote,-1,1,0,0,0,data scientist,na,1
Data Scientist I,$81K - $121K (Glassdoor est.),"At Hy-Vee our people are our strength. We promise “a helpful smile in every aisle” and those smiles can only come from a workforce that is fully engaged and committed to supporting our customers and each other.
Job Description:
Job Title: Data Scientist
Department: Information Technology
FLSA : Exempt
General Function",3.4,"Hy-Vee, Inc.","West Des Moines, IA",10000+ Employees,1930,Company - Private,Grocery Stores,Retail & Wholesale,$5 to $10 billion (USD),0,0,81.0,121.0,101.0,1,IA,93,0,0,0,0,data scientist,na,1
Data Scientist,Employer Provided Salary:$110K - $140K,"The Patrick J. McGovern Foundation (PJMF) is a private foundation dedicated to advancing artificial intelligence and data science solutions to create a thriving, equitable, and sustainable future for all. PJMF works in partnership with public, private and social institutions to drive progress on our most pressing challenges, including digital health, climate change, broad digital access, and data maturity in the social sector.

For more information, please visit our website at https://www.mcgovern.org/. Core to PJMF’s mission is inclusion, diversity, equity, and accessibility (IDEA). We apply the IDEA framework to all we do, from growing a diverse team within the foundation to coalition building with organizations and people around the world, and to democratizing the development and rewards of AI and data.

The Patrick J McGovern Foundation (PJMF) is seeking an experienced, multi-faceted and self-driven Data Scientist. This role sits within the Data Solutions team and will be directly engaged with the development, deployment and maintenance of AI products that will drive positive social impact around the world. The charter of the Data Solutions team is to identify, develop and deploy strategic data and AI solutions, focused on unlocking opportunities and addressing broad challenges the social good sector is facing now, and in the near future. The Data Scientist is responsible for training, validating, and deploying AI models using a rapid prototyping methodology. We are a small, high performance team and in many ways function as a startup. As such, the ideal candidate will be someone who can also manage some elements of the data engineering and MLOps roles that you would typically find in larger teams.",-1.0,Patrick J McGovern Foundation,Remote,1 to 50 Employees,-1,Nonprofit Organization,-1,-1,Unknown / Non-Applicable,1,0,110.0,140.0,125.0,0,remote,-1,0,0,0,0,data scientist,na,-1
Bioinformatics Engineer/AWS Data/ data scientist,Employer Provided Salary:$40.00 - $45.42 Per Hour,"Job Description:
The Genomics Research Center (GRC) is a center of excellence for genetics and genomics that supports both Discovery and Development.
The GRC plays an integral role towards our goal of developing extraordinary genetics and genomics research, focusing on finding the right targets and helping us better understand not only human disease biology but also the behavior of and response to our drugs in clinical trials. Within the GRC, the Department of Bioinformatics is responsible for data analysis and provides analytical insight for both internal and external data.
This involves the identification and characterization of underlying genetic, epigenetic, or genomic factors that are associated with disease diagnosis, prognosis, and response (efficacy and safety) to drug treatment, identification of new targets, and interpretation of the impact of genetic and genomic evidence from population-based studies.",3.7,TellusSolutions,Remote,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),1,1,60.0,45.42,42.71,0,remote,17,0,0,0,0,data scientist,na,1
Lead Data Scientist,Employer Provided Salary:$80.00 Per Hour,"Supply chain and replenishment background is a must
This role supports Supply Chain operations and other members of the Analytics team as required to design and create datasets, reports, forecasts, and analytical tools by leveraging existing data sources.
Will evaluate requests, determine data requirements, and identify innovative methods to provide effective data solutions that fulfill the needs of assigned business function.
In addition, this role will also leverage their familiarity with cloud-based (AWS/Snowflake) technologies and capabilities to recommend optimal solutions.
RESPONSIBILITIES:",-1.0,Urbane Systems LLC,Remote,-1,-1,-1,-1,-1,-1,1,1,120.0,80.0,80.0,0,remote,-1,0,0,0,0,data scientist,senior,-1
Data Scientist,Employer Provided Salary:$102K - $172K,"The role you play
As a Data Scientist Consultant, your work at Tegria will center on strategic opportunities and implementation, process improvement, and growing Tegria as a company. The primary focus of this position will be to help healthcare organizations on a wide range of data related projects that include data wrangling, data analysis, report development, data visualization, ETL development, and data strategy consulting. As a data science expert on the team, you are expected to have general knowledge across analytics, maintain deep expertise in data science, and be comfortable being deployed on almost any engagement that includes data science.
Embracing our mission to humanize healthcare
Living our Tegria values–being real, serving intentionally, and stepping in and stepping up",2.4,Tegria,Remote,Unknown,2020,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,1,0,102.0,172.0,137.0,0,remote,3,0,0,0,0,data scientist,na,1
